celltypebydonor,new_count
B.CellsUCSDX63,22
B.CellsUCSDX64,7
B.CellsUCSDX69,26
B.CellsUCSDX7,7
B.CellsUCSDX76,10
B.CellsUCSDX77,3
B.CellsUCSDX78,1
B.CellsUCSDX8,1
BasalD042,21
BasalD071,2
BasalD116,1
BasalD122,11
BasalD123,3
BasalD176,23
BasalD231,17
BasalD260,1
BasalD265,9
BasalD271,4
BasalD283,3
BasalD288,3
BasalD291,2
BasalD292,18
BasalD294,18
BasalD306,42
BasalD311,1
BasalD312,7
BasalD314,14
BasalD315,6
BasalD320,4
BasalD332,7
BasalD335,9
BasalD339,15
BasalD347,4
BasalD355,15
BasalD356,4
BasalD357,3
BasalD366,4
BasalD369,1
BasalD370,2
BasalD371,1
BasalD376,6
BasalD381,4
BasalUCSDX10,5
BasalUCSDX11,2
BasalUCSDX13,55
BasalUCSDX14,57
BasalUCSDX15,50
BasalUCSDX16,1
BasalUCSDX18,32
BasalUCSDX19,16
BasalUCSDX2,2
BasalUCSDX21,2
BasalUCSDX24,43
BasalUCSDX25,5
BasalUCSDX27,1
BasalUCSDX28,12
BasalUCSDX29,10
BasalUCSDX3,18
BasalUCSDX30,12
BasalUCSDX31,11
BasalUCSDX33,5
BasalUCSDX35,29
BasalUCSDX36,13
BasalUCSDX37,5
BasalUCSDX38,26
BasalUCSDX39,1
BasalUCSDX4,39
BasalUCSDX40,37
BasalUCSDX41,11
BasalUCSDX42,82
BasalUCSDX43,6
BasalUCSDX44,87
BasalUCSDX49,1
BasalUCSDX50,9
BasalUCSDX53,14
BasalUCSDX58,9
BasalUCSDX59,4
BasalUCSDX6,20
BasalUCSDX61,6
BasalUCSDX62,2
BasalUCSDX64,20
BasalUCSDX69,41
BasalUCSDX7,2
BasalUCSDX76,60
BasalUCSDX77,1
BasalUCSDX78,19
BasalUCSDX8,2
BasalUCSDX9,36
CAP1D042,34
CAP1D071,17
CAP1D116,10
CAP1D122,50
CAP1D123,38
CAP1D176,37
CAP1D231,44
CAP1D239,31
CAP1D260,33
CAP1D265,55
CAP1D266,43
CAP1D271,1
CAP1D283,19
CAP1D288,38
CAP1D291,17
CAP1D292,46
CAP1D294,38
CAP1D306,246
CAP1D311,1
CAP1D312,48
CAP1D314,39
CAP1D315,23
CAP1D320,25
CAP1D332,28
CAP1D335,15
CAP1D339,58
CAP1D347,44
CAP1D351,1
CAP1D355,53
CAP1D356,27
CAP1D357,34
CAP1D366,23
CAP1D369,39
CAP1D370,45
CAP1D371,6
CAP1D376,32
CAP1D381,45
CAP1UCSDX11,30
CAP1UCSDX13,13
CAP1UCSDX14,5
CAP1UCSDX15,22
CAP1UCSDX16,31
CAP1UCSDX18,20
CAP1UCSDX19,52
CAP1UCSDX2,11
CAP1UCSDX20,1
CAP1UCSDX21,23
CAP1UCSDX23,41
CAP1UCSDX24,21
CAP1UCSDX25,37
CAP1UCSDX28,49
CAP1UCSDX29,28
CAP1UCSDX3,2
CAP1UCSDX30,25
CAP1UCSDX31,18
CAP1UCSDX33,33
CAP1UCSDX35,20
CAP1UCSDX36,11
CAP1UCSDX37,4
CAP1UCSDX38,55
CAP1UCSDX39,24
CAP1UCSDX4,27
CAP1UCSDX40,46
CAP1UCSDX41,9
CAP1UCSDX42,46
